poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
398,PHL.22.10_1,Capiz,Panitan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,PHL.22.11_1,Capiz,Pilar,2839.5181562500006,2839.186423828125,0.3317324218755857,0,5.099540409311675,0,0,0,5099540409.311675,5099540409.311675,5099540409.311675,0.0024380653630942106,0.0013732204679399729,0.0024380653630942106,0.0013732204679399729,0,0
400,PHL.22.12_1,Capiz,Pontevedra,3733585.5190000003,3677140.0120000006,56445.50699999975,418.25421142578125,867705.7920450681,627381.3171386719,1673016.845703125,4182542.1142578125,1.383059661391346,0.5186473730217547,0.2074589492087019,66.48184967041016,30.90997886657715,66.48184967041016,30.90997886657715,0,0
401,PHL.22.13_1,Capiz,President Roxas,2479960.865,2477762.298,2198.567000000272,0,33797.36353682489,0,0,0,33797363536824.887,33797363536824.887,33797363536824.887,37.27968978881836,32.46836471557617,37.27968978881836,32.46836471557617,0,0
402,PHL.22.14_1,Capiz,Roxas City,51559548.496,50469484.92,1090063.5759999976,370.38360595703125,16756948.938248733,555575.4089355469,1481534.423828125,3703836.0595703125,30.161430237443664,11.310536339041375,4.52421453561655,343.87664794921875,311.8149108886719,329.3252258300781,299.1161193847656,14.551422119140625,12.69879150390625
403,PHL.22.15_1,Capiz,Sapi-An,44099.81700000001,44099.81700000001,0,0,0,0,0,0,0,0,0,25.571847915649414,0.1037152037024498,25.571847915649414,0.1037152037024498,0,0
404,PHL.22.16_1,Capiz,Sigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,PHL.22.17_1,Capiz,Tapaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,PHL.23.1_1,Catanduanes,Bagamanoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,PHL.23.2_1,Catanduanes,Baras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,PHL.23.3_1,Catanduanes,Bato,153685.71925000002,130116.47612500002,23569.243125000008,222.23976135253906,362317.0356797575,333359.6420288086,888959.04541015625,2222397.6135253906,1.0868653250126974,0.4075744968797615,0.1630297987519046,15.503721237182617,1.5368436574935913,15.503721237182617,1.5368436574935913,0,0
409,PHL.23.4_1,Catanduanes,Caramoran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,PHL.23.5_1,Catanduanes,Gigmoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,PHL.23.6_1,Catanduanes,Pandan,0,0,0,241.56243896484375,0,362343.6584472656,966249.755859375,2415624.3896484375,0,0,0,0,0,0,0,0,0
412,PHL.23.7_1,Catanduanes,Panganiban,610540.354875,478483.4537499999,132056.90112500003,576.3365478515625,2030038.245305971,864504.82177734375,2305346.19140625,5763365.478515625,2.3482092802355874,0.8805784800883453,0.3522313920353381,7.176673412322998,2.2533867359161377,7.176673412322998,2.2533867359161377,0,0
413,PHL.23.8_1,Catanduanes,San Andres,406652.588625,406652.588625,0,111.12712097167969,0,166690.68145751953,444508.48388671875,1111271.2097167969,0,0,0,17.578750610351562,1.27158522605896,17.578750610351562,1.27158522605896,0,0
414,PHL.23.9_1,Catanduanes,San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,PHL.23.10_1,Catanduanes,Viga,505.3917921142579,464.8913521728516,40.500439941406285,126.75476837158203,622.5910295664775,190132.15255737305,507019.0734863281,1267547.6837158203,0.0032745173354023246,0.0012279440007758717,4.911776003103487e-4,0,0,0,0,0,0
