poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,benefit_per_ha_year,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
1330,PHL.62.34_1,Quezon,San Andres,5.338234666824341,5.338234666824341,0,209.3993682861328,0,0,314099.0524291992,837597.47314453125,2093993.6828613281,0,0,0,4.668936252593994,2.717024181038141e-4,4.668936252593994,2.717024181038141e-4,0,0
1331,PHL.62.35_1,Quezon,San Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,PHL.62.36_1,Quezon,San Francisco,19503.834109375002,19503.834109375002,0,0,0,0,0,0,0,0,0,0,15.359245300292969,1.0206928253173828,15.359245300292969,1.0206928253173828,0,0
1333,PHL.62.37_1,Quezon,San Narciso,0,0,0,478.873779296875,0,0,718310.6689453125,1915495.1171875,4788737.79296875,0,0,0,9.464332580566406,0,9.464332580566406,0,0,0
1334,PHL.62.38_1,Quezon,Sariaya,1014.1763186035157,966.2525209960938,47.923797607421875,127.44364166259766,0.3760391415548087,736.7062317423373,191165.46249389648,509774.5666503906,1274436.4166259766,0.003853762191828238,0.0014451608219355893,5.780643287742357e-4,0,0,0,0,0,0
1335,PHL.62.39_1,Quezon,Tagkawayan,0,0,0,369.7145080566406,0,0,554571.7620849609,1478858.0322265625,3697145.0805664062,0,0,0,4.584072589874268,0,4.356508255004883,0,0.22756433486938477,0
1336,PHL.62.40_1,Quezon,Tayabas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,PHL.62.41_1,Quezon,Tiaong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,PHL.62.42_1,Quezon,Unisan,0,0,0,121.29463195800781,0,0,181941.94793701172,485178.52783203125,1212946.3195800781,0,0,0,1.109955072402954,0,1.109955072402954,0,0,0
1339,PHL.63.1_1,Quirino,Aglipay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,PHL.63.2_1,Quirino,Cabarroguis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,PHL.63.3_1,Quirino,Diffun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,PHL.63.4_1,Quirino,Maddela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,PHL.63.5_1,Quirino,Nagtipunan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,PHL.63.6_1,Quirino,Saguday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,PHL.64.1_1,Rizal,Angono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,PHL.64.2_1,Rizal,Antipolo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,PHL.64.3_1,Rizal,Baras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,PHL.64.4_1,Rizal,Binangonan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,PHL.64.5_1,Rizal,Cainta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,PHL.64.6_1,Rizal,Cardona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,PHL.64.7_1,Rizal,Jala-Jala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,PHL.64.8_1,Rizal,Morong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,PHL.64.9_1,Rizal,Pililla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,PHL.64.10_1,Rizal,Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,PHL.64.11_1,Rizal,San Mateo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,PHL.64.12_1,Rizal,Tanay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,PHL.64.13_1,Rizal,Taytay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,PHL.64.14_1,Rizal,Teresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,PHL.65.1_1,Romblon,Alcantara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,PHL.65.2_1,Romblon,Banton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,PHL.65.3_1,Romblon,Cajidiocan,0,0,0,222.6488037109375,0,0,333973.20556640625,890595.21484375,2226488.037109375,0,0,0,0,0,0,0,0,0
1362,PHL.65.4_1,Romblon,Calatrava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,PHL.65.5_1,Romblon,Concepcion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,PHL.65.6_1,Romblon,Corcuera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,PHL.65.7_1,Romblon,Ferrol,0,0,0,99.51908874511719,0,0,149278.63311767578,398076.35498046875,995190.8874511719,0,0,0,0,0,0,0,0,0
1366,PHL.65.8_1,Romblon,Looc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
